,Date,Open,High,Low,Close,Volume
77,2021-10-04,1.236,1.3281,1.3278,1.2755,54417278.7
78,2021-10-03,1.2752,1.3461,1.293,1.3282,50427103.0
79,2021-10-02,1.2236,1.3565,1.2666,1.2926,47517816.8
80,2021-10-01,1.1262,1.2687,1.1267,1.2667,61712572.6
81,2021-09-30,1.0941,1.15,1.0991,1.127,42902140.2
82,2021-09-29,1.0444,1.1119,1.0499,1.0988,49659161.9
83,2021-09-28,1.0459,1.112,1.0858,1.0503,37779381.0
84,2021-09-27,1.0826,1.1696,1.1232,1.0849,38095157.3
85,2021-09-26,1.0326,1.1682,1.122,1.1232,51958830.5
86,2021-09-25,1.0841,1.145,1.1268,1.122,36621603.5
87,2021-09-24,1.0542,1.2311,1.2254,1.1273,61414593.5
88,2021-09-23,1.1775,1.246,1.231,1.2254,43633914.5
89,2021-09-22,1.0291,1.2358,1.0475,1.231,88599139.7
90,2021-09-21,1.0148,1.1877,1.1343,1.0474,115909217.8
91,2021-09-20,1.0953,1.319,1.3149,1.1345,121335444.1
92,2021-09-19,1.3012,1.372,1.3661,1.3148,35269414.8
93,2021-09-18,1.3368,1.44,1.4231,1.3661,43381482.2
94,2021-09-17,1.302,1.4416,1.3831,1.4227,66445557.4
95,2021-09-16,1.3478,1.5,1.417,1.3837,91360669.0
96,2021-09-15,1.3169,1.42,1.3185,1.4168,58436869.4
97,2021-09-14,1.235,1.3477,1.2481,1.3196,53688468.1
98,2021-09-13,1.2,1.35,1.3277,1.248,72935780.4
99,2021-09-12,1.2875,1.3731,1.3163,1.3274,45940489.2
100,2021-09-11,1.2771,1.3722,1.3034,1.3163,52780819.2
101,2021-09-10,1.267,1.4666,1.3689,1.3037,122069037.3
102,2021-09-09,1.2833,1.4555,1.3349,1.3686,136873282.5
103,2021-09-08,1.1836,1.41,1.368,1.3346,143883054.2
104,2021-09-07,1.1131,1.6981,1.6439,1.3654,193185525.4
105,2021-09-06,1.5666,1.7189,1.6805,1.6443,74554194.1
106,2021-09-05,1.6333,1.7991,1.74,1.6806,110905192.3
107,2021-09-04,1.4459,1.745,1.4573,1.7397,139114565.1
108,2021-09-03,1.4036,1.4986,1.4461,1.4573,57185556.8
109,2021-09-02,1.4307,1.52,1.4695,1.4452,71184427.3
110,2021-09-01,1.312,1.4969,1.3379,1.4699,104811134.1
111,2021-08-31,1.3022,1.4191,1.3201,1.3378,61550333.3
112,2021-08-30,1.3081,1.4234,1.4209,1.3196,50547257.3
113,2021-08-29,1.3966,1.4853,1.46,1.4207,28931957.7
114,2021-08-28,1.4429,1.53,1.5201,1.4599,27671208.6
115,2021-08-27,1.3507,1.5202,1.3721,1.5193,45585452.2
116,2021-08-26,1.3633,1.5484,1.5275,1.372,54641454.4
117,2021-08-25,1.42,1.5542,1.4742,1.5275,41596937.7
118,2021-08-24,1.4366,1.63,1.624,1.4755,58053572.4
119,2021-08-23,1.5901,1.688,1.6241,1.624,45338274.4
120,2021-08-22,1.5582,1.6693,1.5844,1.6247,43810409.6
121,2021-08-21,1.5137,1.7011,1.5501,1.5843,76749543.1
122,2021-08-20,1.4522,1.5692,1.4716,1.5506,73779622.1
123,2021-08-19,1.301,1.4718,1.335,1.4711,58311442.1
124,2021-08-18,1.2736,1.41,1.3495,1.3327,69635610.1
125,2021-08-17,1.335,1.5332,1.4192,1.349,87778920.8
126,2021-08-16,1.4137,1.56,1.4672,1.4192,69933750.7
127,2021-08-15,1.3707,1.4863,1.4433,1.4672,46342834.0
128,2021-08-14,1.4,1.5144,1.5119,1.4442,50277114.5
129,2021-08-13,1.3154,1.5163,1.3218,1.5114,110831479.4
130,2021-08-12,1.2578,1.4799,1.3713,1.3228,138713370.6
131,2021-08-11,1.1532,1.427,1.1567,1.3717,145744367.8
132,2021-08-10,1.108,1.1793,1.1274,1.1569,60266595.7
133,2021-08-09,1.0378,1.1587,1.0816,1.1274,65641691.0
134,2021-08-08,1.0694,1.1806,1.1673,1.0815,65542662.0
135,2021-08-07,1.0685,1.1963,1.0813,1.1665,84922478.0
136,2021-08-06,1.0354,1.0995,1.0655,1.0811,45096279.6
137,2021-08-05,1.0107,1.0759,1.0536,1.0655,45766301.9
138,2021-08-04,1.0074,1.071,1.0228,1.0537,34317668.1
139,2021-08-03,1.0046,1.0599,1.0455,1.0222,34516061.6
140,2021-08-02,1.02,1.0799,1.0504,1.0451,43524967.4
141,2021-08-01,1.0419,1.1362,1.0827,1.0502,61901551.9
142,2021-07-31,1.0252,1.1014,1.0663,1.0839,52651970.6
143,2021-07-30,0.9957,1.0717,1.0284,1.0681,52890399.9
144,2021-07-29,0.9908,1.0441,1.0183,1.0283,34012518.3
145,2021-07-28,0.988,1.0592,1.0402,1.0185,61666519.1
146,2021-07-27,0.9374,1.0641,1.0152,1.0404,123095890.3
147,2021-07-26,0.9307,1.1358,0.9401,1.0154,193964008.8
148,2021-07-25,0.8867,0.9652,0.9487,0.9405,55210713.2
149,2021-07-24,0.9111,0.9888,0.9502,0.949,69413541.0
150,2021-07-23,0.8591,0.9574,0.8807,0.95,99638461.9
151,2021-07-22,0.845,0.9324,0.8903,0.88,121874952.5
152,2021-07-21,0.6689,0.96,0.689,0.8897,180321987.2
153,2021-07-20,0.6221,0.7386,0.7337,0.6886,127303878.5
154,2021-07-19,0.7286,0.8003,0.794,0.7337,45408560.6
155,2021-07-18,0.7858,0.8601,0.8023,0.7938,33695683.2
156,2021-07-17,0.7832,0.8218,0.8115,0.8021,38402667.8
157,2021-07-16,0.81,0.8979,0.8794,0.8112,48841919.5
158,2021-07-15,0.8567,0.9457,0.9289,0.8792,43475770.6
159,2021-07-14,0.8687,0.967,0.9458,0.9294,58412300.4
160,2021-07-13,0.9366,0.9956,0.9948,0.9457,33200542.3
161,2021-07-12,0.9617,1.0498,1.0436,0.9948,35328204.2
162,2021-07-11,1.0213,1.059,1.0308,1.0429,9951513.2
163,2021-07-10,1.0198,1.071,1.0529,1.0309,16442691.1
164,2021-07-09,1.0024,1.0698,1.0416,1.0516,34005724.9
165,2021-07-08,1.0171,1.1326,1.1281,1.0409,44683204.9
166,2021-07-07,1.1255,1.1772,1.1305,1.1285,36417717.6
167,2021-07-06,1.0995,1.1645,1.1003,1.1306,41121499.8
168,2021-07-05,1.0825,1.1496,1.1475,1.0994,31484154.1
169,2021-07-04,1.0955,1.18,1.1181,1.1477,32741514.3
170,2021-07-03,1.08,1.146,1.1019,1.1181,24580211.9
171,2021-07-02,1.0419,1.11,1.0732,1.1018,35616204.7
172,2021-07-01,1.0616,1.17,1.17,1.073,45161699.2
173,2021-06-30,1.079,1.1814,1.1707,1.1687,68059079.8
174,2021-06-29,1.1149,1.251,1.1209,1.1726,69977634.3
175,2021-06-28,1.0865,1.1663,1.1145,1.1204,60518455.9
176,2021-06-27,1.0343,1.1151,1.0778,1.1151,55661713.6
177,2021-06-26,1.0061,1.1041,1.0404,1.0768,59751614.6
178,2021-06-25,1.04,1.2342,1.2026,1.0402,84369628.5
179,2021-06-24,1.135,1.242,1.176,1.2023,75015313.4
180,2021-06-23,1.0289,1.2512,1.076,1.1756,126995006.8
181,2021-06-22,0.9246,1.24,1.0983,1.0769,287906644.6
182,2021-06-21,1.08,1.4096,1.3981,1.0987,128105228.6
183,2021-06-20,1.2821,1.4372,1.358,1.3977,52884313.7
184,2021-06-19,1.3483,1.435,1.3795,1.3579,45668181.8
185,2021-06-18,1.3043,1.5137,1.5024,1.38,82677008.0
186,2021-06-17,1.45,1.5585,1.4775,1.502,62482307.2
187,2021-06-16,1.4467,1.6373,1.629,1.478,93016586.5
188,2021-06-15,1.5333,1.71,1.5498,1.6292,99955985.2
189,2021-06-14,1.4155,1.6011,1.4687,1.5492,88329820.4
190,2021-06-13,1.3111,1.495,1.3383,1.4671,84709171.4
191,2021-06-12,1.1594,1.3987,1.2508,1.3389,104139604.6
192,2021-06-11,1.2295,1.384,1.3618,1.2508,81192435.6
193,2021-06-10,1.3343,1.4973,1.4918,1.3628,68399801.3
194,2021-06-09,1.3535,1.536,1.4817,1.4907,130978657.7
195,2021-06-08,1.266,1.5238,1.4841,1.4817,217966247.4
196,2021-06-07,1.46,1.7265,1.5813,1.4857,121452243.3
197,2021-06-06,1.5121,1.59,1.5293,1.5813,59928213.5
198,2021-06-05,1.4517,1.6958,1.6321,1.5288,86882658.1
199,2021-06-04,1.5514,1.8249,1.8236,1.6315,171025132.6
200,2021-06-03,1.7609,1.88,1.7992,1.8237,68525458.4
201,2021-06-02,1.75,1.89,1.8258,1.8,87008594.1
202,2021-06-01,1.765,1.9895,1.869,1.8256,134574353.8
203,2021-05-31,1.7461,1.9364,1.8658,1.8689,197310325.2
204,2021-05-30,1.552,1.984,1.6977,1.8659,266589572.9
205,2021-05-29,1.514,1.9118,1.818,1.698,274240464.8
206,2021-05-28,1.665,2.0611,2.0392,1.8182,376674457.8
207,2021-05-27,1.8552,2.2657,2.2113,2.0386,305993077.0
208,2021-05-26,1.8315,2.4399,1.9382,2.2112,500107090.0
209,2021-05-25,1.513,1.95,1.7452,1.9381,432762206.4
210,2021-05-24,1.0683,1.99,1.0753,1.7457,679554174.2
211,2021-05-23,0.7441,1.2615,1.193,1.0754,447319001.1
212,2021-05-22,1.1301,1.6227,1.4862,1.1943,226837247.5
213,2021-05-21,1.197,1.9547,1.836,1.4863,313332949.7
214,2021-05-20,1.32,2.22,1.6248,1.8351,375775474.3
215,2021-05-19,1.04,2.6433,2.4444,1.6231,722861880.2
216,2021-05-18,1.708,2.825,1.7304,2.4418,467248070.8
217,2021-05-17,1.4781,1.794,1.7274,1.7305,243518218.6
218,2021-05-16,1.46,1.8322,1.5961,1.7286,218431771.0
219,2021-05-15,1.4739,1.8903,1.4786,1.5974,397985510.5
220,2021-05-14,1.0431,1.5186,1.0525,1.4772,269453078.7
221,2021-05-13,0.93,1.1843,1.0539,1.0524,240830547.3
222,2021-05-12,1.0,1.2312,1.0654,1.0502,314287183.5
223,2021-05-11,0.8009,1.0919,0.8761,1.0656,191024278.8
224,2021-05-10,0.7828,1.0064,0.9708,0.8769,179624751.2
225,2021-05-09,0.7896,1.06,0.8515,0.9713,357307152.6
226,2021-05-08,0.7325,0.8517,0.7511,0.8508,110565010.3
227,2021-05-07,0.7331,0.8086,0.762,0.751,104238559.8
228,2021-05-06,0.7255,0.8148,0.811,0.7621,120861117.7
229,2021-05-05,0.7007,0.8369,0.7051,0.8108,173195945.4
230,2021-05-04,0.6877,0.7992,0.7953,0.7051,149109748.0
231,2021-05-03,0.7767,0.8698,0.8233,0.7948,116390893.6
232,2021-05-02,0.7403,0.8279,0.7867,0.8226,96826737.6
233,2021-05-01,0.7711,0.8412,0.8223,0.7866,127672727.5
234,2021-04-30,0.7821,0.9457,0.8928,0.8223,254341292.1
235,2021-04-29,0.7427,0.9296,0.7776,0.8928,297274725.5
236,2021-04-28,0.6743,0.8996,0.8318,0.778,475967417.9
237,2021-04-27,0.535,0.85,0.5374,0.832,324699158.3
238,2021-04-26,0.3794,0.5789,0.3845,0.5374,324937352.6
239,2021-04-25,0.3458,0.4039,0.3554,0.3845,84608757.0
240,2021-04-24,0.3387,0.3913,0.3824,0.3552,65540674.6
241,2021-04-23,0.295,0.3876,0.3504,0.3824,123567420.3
242,2021-04-22,0.345,0.4215,0.3572,0.35,154400768.2
243,2021-04-21,0.3282,0.3828,0.3428,0.3572,91117012.9
244,2021-04-20,0.2973,0.3522,0.3272,0.3428,82525434.1
245,2021-04-19,0.3258,0.3873,0.3649,0.3272,61733406.2
246,2021-04-18,0.32,0.4071,0.4031,0.3647,114585605.7
247,2021-04-17,0.4003,0.4399,0.4358,0.4031,47900138.9
248,2021-04-16,0.4074,0.4686,0.4403,0.4359,80129149.8
249,2021-04-15,0.4015,0.4599,0.4148,0.4406,96537311.2
250,2021-04-14,0.3701,0.45,0.4231,0.4142,122910466.5
251,2021-04-13,0.3574,0.4248,0.3582,0.4227,125532650.6
252,2021-04-12,0.3502,0.3728,0.3692,0.3575,31331397.6
253,2021-04-11,0.3505,0.3699,0.3575,0.3687,23895781.4
254,2021-04-10,0.3479,0.3757,0.3671,0.3577,36117416.9
255,2021-04-09,0.35,0.3838,0.356,0.3671,44904012.2
256,2021-04-08,0.3357,0.3611,0.3378,0.356,29716160.5
257,2021-04-07,0.3107,0.3758,0.3743,0.3377,59612515.7
258,2021-04-06,0.361,0.3896,0.3709,0.3743,54829149.5
259,2021-04-05,0.346,0.3708,0.3613,0.3702,50549936.2
260,2021-04-04,0.3438,0.3726,0.3514,0.3613,26679454.8
261,2021-04-03,0.351,0.3989,0.3832,0.3517,45760028.0
262,2021-04-02,0.357,0.397,0.3632,0.3832,68223037.1
263,2021-04-01,0.3525,0.3781,0.3616,0.3632,50534783.4
264,2021-03-31,0.3378,0.3839,0.3711,0.3614,63082004.5
265,2021-03-30,0.36,0.3884,0.3843,0.3709,68529507.3
266,2021-03-29,0.3368,0.4283,0.3464,0.3841,147010319.5
267,2021-03-28,0.3275,0.3555,0.3318,0.3462,57975840.6
268,2021-03-27,0.3311,0.3576,0.3368,0.332,62733530.4
269,2021-03-26,0.291,0.343,0.3004,0.3368,87190766.4
270,2021-03-25,0.2973,0.3364,0.3212,0.3003,112249593.1
271,2021-03-24,0.3053,0.3779,0.3306,0.321,107637907.1
272,2021-03-23,0.3252,0.3664,0.3465,0.3303,78755753.7
273,2021-03-22,0.3221,0.3845,0.3801,0.3456,72887659.8
274,2021-03-21,0.3646,0.4006,0.3837,0.3809,64138294.8
275,2021-03-20,0.3825,0.4195,0.4094,0.3837,52078388.0
276,2021-03-19,0.3737,0.4246,0.3896,0.4094,78726423.8
277,2021-03-18,0.3845,0.4378,0.4015,0.3893,106105992.1
278,2021-03-17,0.3709,0.427,0.3735,0.4003,137536451.0
279,2021-03-16,0.348,0.3963,0.3917,0.3746,107185915.8
280,2021-03-15,0.3781,0.43,0.3812,0.3909,115608670.0
281,2021-03-14,0.3727,0.4385,0.4263,0.3812,118930211.9
282,2021-03-13,0.4097,0.4694,0.4146,0.4249,173058984.7
283,2021-03-12,0.3924,0.5376,0.4249,0.4149,399949092.9
284,2021-03-11,0.314,0.59,0.3871,0.4243,226442305.9
