,Date,Open,High,Low,Close,Volume
44,2021-11-06,80.5,87.04,85.41,83.33,6195.216
45,2021-11-05,83.47,88.95,84.83,85.5,10548.117
46,2021-11-04,81.89,91.23,85.9,84.74,20403.476
47,2021-11-03,80.02,87.3,85.15,85.9,20893.79
48,2021-11-02,84.21,91.12,86.89,85.34,25321.087
49,2021-11-01,80.0,92.0,87.91,86.66,44057.007
50,2021-10-31,77.3,129.9,78.11,87.78,264764.532
51,2021-10-30,74.53,78.88,78.7,78.15,6251.956
52,2021-10-29,75.13,79.38,75.94,78.79,7964.3
53,2021-10-28,72.09,76.98,74.13,76.2,6287.046
54,2021-10-27,70.2,86.32,85.27,74.15,19810.825
55,2021-10-26,83.57,89.56,89.56,85.17,17617.668
56,2021-10-25,88.68,93.26,91.35,89.67,8359.202
57,2021-10-24,88.28,94.61,88.9,91.25,12277.117
58,2021-10-23,86.53,91.92,87.42,89.05,9093.853
59,2021-10-22,84.4,88.71,86.31,87.38,8708.608
60,2021-10-21,80.66,87.9,83.03,86.25,17423.027
61,2021-10-20,77.63,83.75,77.86,82.75,8335.23
62,2021-10-19,76.69,84.0,78.99,77.72,17292.114
63,2021-10-18,75.88,81.9,79.32,78.99,15549.705
64,2021-10-17,73.33,79.43,78.75,79.43,11057.999
65,2021-10-16,78.13,82.93,78.64,78.84,7909.428
66,2021-10-15,74.1,79.5,77.63,78.59,4600.367
67,2021-10-14,71.0,80.0,73.13,77.9,11620.479
68,2021-10-13,69.98,75.08,72.55,73.3,6118.618
69,2021-10-12,69.24,74.66,74.6,72.6,7232.98
70,2021-10-11,72.46,78.0,74.27,74.57,6783.389
71,2021-10-10,73.97,80.23,79.69,74.45,3576.092
72,2021-10-09,76.92,81.73,77.98,79.8,7049.172
73,2021-10-08,77.32,86.98,78.69,78.18,10528.378
74,2021-10-07,75.48,81.43,78.89,78.54,10334.465
75,2021-10-06,71.16,82.6,78.3,79.14,7423.278
76,2021-10-05,74.26,78.81,74.92,78.14,5018.191
77,2021-10-04,71.99,77.86,77.73,75.11,7008.286
78,2021-10-03,73.43,80.53,75.45,77.94,4000.834
79,2021-10-02,73.12,78.14,75.15,75.35,4552.134
80,2021-10-01,68.09,75.46,69.18,75.46,5719.531
81,2021-09-30,64.79,69.79,65.21,69.18,3930.059
82,2021-09-29,62.56,67.51,63.11,65.09,5214.029
83,2021-09-28,62.46,67.5,65.41,63.12,8823.662
84,2021-09-27,64.5,75.0,65.27,65.16,10637.784
85,2021-09-26,61.0,70.0,67.5,65.72,9068.533
86,2021-09-25,65.26,69.9,68.11,67.77,8978.037
87,2021-09-24,64.37,78.77,78.38,67.94,14503.767
88,2021-09-23,74.0,79.63,78.71,78.4,7933.686
89,2021-09-22,67.02,79.16,68.86,78.93,6511.711
90,2021-09-21,66.89,79.11,76.2,68.79,15138.227
91,2021-09-20,74.71,92.82,92.4,76.01,19439.417
92,2021-09-19,90.68,95.82,95.56,92.49,8631.574
93,2021-09-18,92.01,98.01,93.5,95.28,17753.77
94,2021-09-17,88.44,103.19,102.36,93.48,68495.996
95,2021-09-16,98.71,114.99,114.99,102.31,138020.436
