,Date,Open,High,Low,Close,Volume
89,2021-09-22,0.1999,0.2306,0.201,0.2245,443720076.6
90,2021-09-21,0.1977,0.2185,0.2087,0.2009,364206027.1
91,2021-09-20,0.1989,0.2335,0.2329,0.2087,483209883.1
92,2021-09-19,0.2308,0.2415,0.2414,0.2329,117703007.4
93,2021-09-18,0.2381,0.2476,0.2402,0.2414,143157357.6
94,2021-09-17,0.2375,0.26,0.2419,0.2401,410488863.2
95,2021-09-16,0.2332,0.248,0.2478,0.242,184899915.5
96,2021-09-15,0.2391,0.2484,0.2406,0.2477,110482728.7
97,2021-09-14,0.2338,0.2417,0.2359,0.2407,143879242.2
98,2021-09-13,0.2284,0.2522,0.2502,0.236,337437100.6
99,2021-09-12,0.2388,0.2554,0.2412,0.2502,184559604.6
100,2021-09-11,0.2377,0.248,0.2398,0.2411,138158164.3
101,2021-09-10,0.2355,0.262,0.2527,0.2398,290362017.6
102,2021-09-09,0.2486,0.2597,0.2566,0.2527,269432873.5
103,2021-09-08,0.2334,0.2637,0.2556,0.2567,515368548.8
104,2021-09-07,0.21,0.3115,0.3092,0.2557,940077370.9
105,2021-09-06,0.3002,0.3199,0.3148,0.3091,295006262.7
106,2021-09-05,0.2963,0.3159,0.2995,0.3147,352644709.1
107,2021-09-04,0.2933,0.3087,0.2963,0.2994,285715298.7
108,2021-09-03,0.2874,0.305,0.2948,0.2963,374466691.5
109,2021-09-02,0.2919,0.31,0.2944,0.2948,532380997.3
110,2021-09-01,0.2731,0.295,0.2783,0.2945,340668630.5
111,2021-08-31,0.27,0.2861,0.2721,0.2783,265798812.0
112,2021-08-30,0.27,0.2903,0.2813,0.272,333045083.5
113,2021-08-29,0.2766,0.2922,0.2863,0.2813,238108435.3
114,2021-08-28,0.2831,0.2998,0.2946,0.2863,154141454.1
115,2021-08-27,0.265,0.2953,0.2684,0.2948,253519860.7
116,2021-08-26,0.2643,0.2962,0.2926,0.2684,337735827.8
117,2021-08-25,0.2795,0.297,0.2888,0.2924,251441677.7
118,2021-08-24,0.276,0.3196,0.3179,0.2888,410135197.3
119,2021-08-23,0.3128,0.328,0.3149,0.3179,312992689.9
120,2021-08-22,0.3052,0.3217,0.3171,0.3149,200280984.5
121,2021-08-21,0.3145,0.3296,0.3276,0.3173,277716902.0
122,2021-08-20,0.3136,0.3349,0.3178,0.3273,393858940.9
123,2021-08-19,0.2937,0.3192,0.3032,0.3176,466531914.1
124,2021-08-18,0.2783,0.326,0.2993,0.3031,887046305.6
125,2021-08-17,0.2942,0.34,0.3194,0.2993,772826988.2
126,2021-08-16,0.31,0.3519,0.3404,0.3194,919382770.8
127,2021-08-15,0.2875,0.35,0.2939,0.3403,1112193496.0
128,2021-08-14,0.276,0.2988,0.287,0.2939,562202841.7
129,2021-08-13,0.2616,0.2877,0.2642,0.287,483859802.7
130,2021-08-12,0.2516,0.2948,0.2646,0.264,745005518.7
131,2021-08-11,0.2565,0.2829,0.2576,0.2647,657443584.1
132,2021-08-10,0.2452,0.2633,0.2561,0.2575,456380783.0
133,2021-08-09,0.2302,0.267,0.24,0.2562,653554605.6
134,2021-08-08,0.2347,0.284,0.2622,0.24,951623526.0
135,2021-08-07,0.2036,0.2634,0.2049,0.2622,800423678.5
136,2021-08-06,0.1984,0.2121,0.2011,0.2049,180216995.9
137,2021-08-05,0.1944,0.2024,0.2015,0.201,128633579.9
138,2021-08-04,0.1943,0.2032,0.1963,0.2014,108608848.8
139,2021-08-03,0.1932,0.2051,0.2034,0.1962,135048499.9
140,2021-08-02,0.2016,0.2099,0.2043,0.2034,107019763.4
141,2021-08-01,0.201,0.2181,0.2079,0.2043,172196420.4
142,2021-07-31,0.205,0.2146,0.209,0.2079,108532677.2
143,2021-07-30,0.196,0.2107,0.2048,0.2089,168695117.4
144,2021-07-29,0.2004,0.2066,0.2057,0.2049,108692039.1
145,2021-07-28,0.2016,0.2138,0.2058,0.2059,186971251.7
146,2021-07-27,0.1952,0.2096,0.2039,0.2059,226006096.8
147,2021-07-26,0.1968,0.2332,0.1981,0.2039,626081630.9
148,2021-07-25,0.1912,0.2009,0.1971,0.1981,121896004.0
149,2021-07-24,0.1913,0.2046,0.1951,0.1971,165000795.3
150,2021-07-23,0.1832,0.1996,0.1913,0.195,144665301.8
151,2021-07-22,0.1863,0.1965,0.1906,0.1914,145232846.5
152,2021-07-21,0.1683,0.215,0.1706,0.1905,485064387.6
153,2021-07-20,0.16,0.18,0.1738,0.1706,218925708.2
154,2021-07-19,0.1704,0.1844,0.1817,0.1737,141656397.5
155,2021-07-18,0.1803,0.1963,0.1876,0.1817,140641638.8
156,2021-07-17,0.169,0.2059,0.1721,0.1876,283758045.1
157,2021-07-16,0.1711,0.1883,0.1853,0.1721,146625046.0
158,2021-07-15,0.1803,0.2008,0.1975,0.1853,123286255.7
159,2021-07-14,0.1874,0.2047,0.2,0.1976,140524632.0
160,2021-07-13,0.1975,0.2096,0.2078,0.2,95276373.8
161,2021-07-12,0.204,0.2191,0.216,0.2078,78345899.8
162,2021-07-11,0.2107,0.2192,0.2138,0.2159,47077254.7
163,2021-07-10,0.2099,0.228,0.2196,0.2139,95754193.0
164,2021-07-09,0.1955,0.2298,0.2072,0.2196,236319196.6
165,2021-07-08,0.2017,0.2249,0.224,0.2072,195477532.4
166,2021-07-07,0.2209,0.2386,0.2342,0.2239,107956123.5
167,2021-07-06,0.2294,0.2422,0.2312,0.2342,88550837.6
168,2021-07-05,0.2262,0.2466,0.2466,0.2312,100615850.7
169,2021-07-04,0.2433,0.2528,0.2465,0.2467,66153102.1
170,2021-07-03,0.242,0.2502,0.2453,0.2465,66914583.1
171,2021-07-02,0.2385,0.2489,0.2438,0.2452,111923201.4
172,2021-07-01,0.2383,0.2619,0.2539,0.2441,164261335.3
173,2021-06-30,0.2378,0.2641,0.2635,0.2541,184596444.7
174,2021-06-29,0.2527,0.2758,0.2571,0.2636,195143202.1
175,2021-06-28,0.2506,0.2669,0.2646,0.2572,171045051.3
176,2021-06-27,0.2403,0.2677,0.2458,0.2647,180482566.4
177,2021-06-26,0.2306,0.2557,0.2374,0.2459,208364317.6
178,2021-06-25,0.2285,0.29,0.264,0.2375,645832694.1
179,2021-06-24,0.2218,0.27,0.2349,0.264,351286805.7
180,2021-06-23,0.1805,0.2495,0.1909,0.2349,564383669.4
181,2021-06-22,0.1633,0.2175,0.1787,0.1909,794429143.4
182,2021-06-21,0.1643,0.2811,0.2803,0.1788,791737076.0
183,2021-06-20,0.255,0.2896,0.2858,0.2803,158647350.2
184,2021-06-19,0.2856,0.298,0.2935,0.2856,57112283.0
185,2021-06-18,0.2799,0.3078,0.3062,0.2934,176036609.4
186,2021-06-17,0.3028,0.3141,0.3078,0.3064,56543539.4
187,2021-06-16,0.3051,0.3213,0.3204,0.3077,82167983.9
188,2021-06-15,0.3165,0.3307,0.3277,0.3204,83817626.3
189,2021-06-14,0.3196,0.3377,0.3243,0.3276,93716865.3
190,2021-06-13,0.3077,0.3306,0.3123,0.3243,73923729.4
191,2021-06-12,0.3011,0.3192,0.3189,0.3121,94733927.0
192,2021-06-11,0.311,0.3343,0.3262,0.3189,132298372.1
193,2021-06-10,0.3228,0.3455,0.3437,0.3261,144170835.3
194,2021-06-09,0.3125,0.3548,0.3264,0.3436,197780888.9
195,2021-06-08,0.2959,0.3422,0.3317,0.3264,287575509.5
196,2021-06-07,0.3274,0.38,0.3719,0.3315,205450202.3
197,2021-06-06,0.3669,0.3774,0.3718,0.3717,125063397.2
198,2021-06-05,0.3598,0.3948,0.3769,0.3718,221827648.1
199,2021-06-04,0.35,0.4039,0.4015,0.3769,570165109.2
200,2021-06-03,0.3779,0.4875,0.4875,0.4015,190111721.7
